                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.7309,                0.72946,                 1.5003,                 1.7365,                0.01169,                0.64706,                0.01494,                0.00456,                0.01233,                0.58824,                0.01213,                0.00463,                 2.9036,                 3.5211,                 306.51,                 13.723,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.6511,                0.67391,                 1.3263,                 1.6398,                0.00546,                0.64706,                0.00464,                 0.0015,                0.00496,                0.58824,                0.00403,                0.00146,                 2.7096,                 1.6848,                 290.14,                 8.7132,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.5355,                0.68386,                 1.1696,                 1.5933,                0.02195,                0.29412,                0.01546,                0.00424,                0.02313,                0.29412,                0.01457,                0.00352,                 2.8057,                 1.2933,                 52.806,                 7.6041,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.5732,                0.59104,                 1.1684,                 1.6372,                0.00769,                0.11765,                0.00689,                0.00246,                0.00769,                0.11765,                0.00638,                0.00217,                 3.0358,                 1.5912,                 17.145,                 5.3914,               0.001505,               0.001505,               0.001505
                     28,                 1.5273,                0.52176,                 1.1643,                  1.534,                 0.0049,                0.23529,                0.00387,                0.00128,                 0.0049,                0.23529,                0.00382,                0.00105,                 3.0773,                 7.2829,                 66.269,                 5.0041,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.6827,                0.69255,                 1.3908,                 1.7193,                0.02215,                0.11765,                0.00858,                0.00346,                0.02215,                0.11765,                0.00814,                0.00284,                 2.8473,                 6.3164,                 14.908,                 3.5516,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.3888,                0.48019,                 1.0254,                 1.4806,                0.00291,                0.58824,                 0.0025,                0.00066,                0.00262,                0.52941,                0.00215,                0.00054,                 3.7563,                 5.6117,                 50.556,                 4.8211,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.3914,                0.65715,                0.91549,                 1.4418,                0.00168,                0.29412,                0.00106,                0.00022,                0.00204,                0.23529,                0.00137,                0.00032,                 3.9637,                 4.8148,                 180.93,                 5.9996,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.5297,                0.69485,                 1.1008,                 1.5715,                0.01213,                0.11765,                0.00479,                 0.0016,                0.01213,                0.11765,                0.00468,                0.00156,                 2.8807,                 13.185,                 6.8493,                 3.1847,               0.001406,               0.001406,               0.001406
                     33,                  1.417,                0.40678,                 1.0617,                 1.4785,                0.00784,                0.17647,                0.00298,                0.00066,                0.00784,                0.17647,                0.00298,                0.00071,                 3.8897,                  1.217,                 48.186,                 4.6708,              0.0013862,              0.0013862,              0.0013862
