                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2353,                0.68533,                 1.0438,                 1.3972,                0.81376,                0.77727,                0.89322,                 0.5334,                0.80223,                0.76762,                0.87489,                0.48707,                 1.5522,                 1.1928,                 1.0677,                 1.9709,             0.00063625,             0.00063625,             0.00063625
                     25,                   1.22,                0.58504,                 1.0208,                 1.4266,                0.89035,                0.72076,                0.88652,                0.55778,                0.87793,                0.71076,                0.86716,                0.52203,                 1.3894,                0.90529,                 1.3466,                 1.6892,             0.00063271,             0.00063271,             0.00063271
                     26,                 1.2572,                0.52887,                 1.0454,                 1.4525,                0.88243,                0.81525,                 0.8804,                0.53243,                0.87139,                0.80525,                0.86181,                0.48215,                  1.437,                 1.3779,                 1.0963,                 1.8005,             0.00062918,             0.00062918,             0.00062918
                     27,                  1.237,                0.58216,                 1.0938,                 1.4342,                0.89238,                0.76164,                0.84876,                0.52411,                0.87857,                0.75164,                0.82941,                0.49333,                 1.4188,                 1.5827,                 1.2013,                 1.8109,             0.00062564,             0.00062564,             0.00062564
                     28,                  1.226,                0.61559,                 1.0804,                 1.3966,                0.85221,                0.71824,                0.86476,                0.54101,                0.83436,                0.70824,                0.84719,                0.49831,                  1.421,                  1.745,                 1.1781,                 1.7587,             0.00062211,             0.00062211,             0.00062211
                     29,                 1.1478,                0.60964,                0.90619,                 1.3178,                0.82239,                0.83536,                0.94421,                0.58038,                0.91439,                0.72559,                0.91249,                 0.5487,                 1.4484,                  1.859,                0.91193,                  1.774,             0.00061857,             0.00061857,             0.00061857
                     30,                 1.2546,                0.57508,                 1.0722,                 1.4563,                0.86808,                0.78547,                0.89182,                0.51843,                0.85651,                0.77547,                 0.8532,                0.48245,                 1.5524,                 2.0678,                 1.0516,                 1.8745,             0.00061504,             0.00061504,             0.00061504
                     31,                 1.1725,                0.57125,                 0.9267,                 1.3737,                0.86263,                0.81849,                0.91747,                0.56701,                0.85058,                0.80849,                0.90251,                0.52473,                 1.4551,                 1.8492,                0.89013,                 1.8576,             0.00061151,             0.00061151,             0.00061151
                     32,                 1.1752,                0.57245,                0.94965,                 1.3685,                0.89596,                0.88045,                0.93618,                0.62042,                0.88642,                0.87045,                 0.9184,                0.59668,                 1.3963,                 1.5213,                0.93922,                  1.756,             0.00060797,             0.00060797,             0.00060797
                     33,                 1.1655,                0.57132,                 1.0143,                 1.3306,                0.76366,                 0.8498,                 0.9275,                 0.5615,                0.73959,                0.83493,                0.89605,                0.52221,                 1.4836,                 1.8122,                0.95195,                 1.8584,             0.00060444,             0.00060444,             0.00060444
                     34,                 1.1473,                0.61419,                0.91522,                 1.3533,                0.95629,                0.82723,                0.94472,                0.58316,                0.94262,                0.81723,                0.92712,                 0.5462,                 1.4306,                 1.8313,                0.86202,                  1.864,              0.0006009,              0.0006009,              0.0006009
                     35,                 1.1199,                0.55915,                0.87337,                 1.3578,                0.96329,                0.82748,                0.94426,                0.58539,                0.95915,                0.81178,                0.90478,                0.54328,                 1.4344,                 1.7189,                0.82554,                 1.7876,             0.00059737,             0.00059737,             0.00059737
                     36,                 1.1616,                0.47226,                0.88981,                 1.3276,                0.89554,                 0.9088,                0.94851,                0.56145,                0.85792,                0.87557,                0.90066,                0.52641,                 1.5406,                 1.5194,                0.76599,                 1.9033,             0.00059383,             0.00059383,             0.00059383
                     37,                 1.1366,                0.54036,                0.83058,                 1.3754,                0.94062,                0.89986,                0.94083,                0.59028,                0.92852,                0.89022,                  0.922,                0.55026,                  1.456,                  1.906,                0.74918,                 1.8352,              0.0005903,              0.0005903,              0.0005903
                     38,                 1.1125,                0.55079,                0.85168,                 1.3206,                0.91937,                0.91581,                0.95046,                0.56233,                0.88365,                0.88171,                0.90668,                0.52769,                 1.5208,                 2.0716,                0.73631,                 1.9893,             0.00058677,             0.00058677,             0.00058677
                     39,                 1.0874,                0.56065,                 0.8661,                 1.3574,                0.95765,                0.86994,                0.95225,                0.57859,                0.94942,                0.82525,                0.92149,                0.55321,                 1.4791,                0.55689,                0.76328,                 1.9291,             0.00058323,             0.00058323,             0.00058323
                     40,                 1.0713,                0.50016,                0.83415,                 1.3087,                0.97185,                0.92795,                0.95087,                0.59134,                0.95992,                0.91795,                0.93547,                0.57111,                 1.4227,                 1.6904,                0.79786,                  1.881,              0.0005797,              0.0005797,              0.0005797
                     41,                 1.0861,                0.58736,                 0.8808,                 1.3111,                0.94979,                0.88369,                0.93492,                0.60109,                0.93704,                0.87517,                 0.9258,                0.57475,                 1.4539,                 1.8318,                0.83757,                 1.9378,             0.00057616,             0.00057616,             0.00057616
                     42,                 1.0725,                0.52556,                0.84012,                 1.2718,                0.96051,                0.89339,                0.94004,                0.59012,                0.94922,                0.88355,                0.92532,                0.56422,                 1.4222,                 1.5637,                0.75549,                 1.8348,             0.00057263,             0.00057263,             0.00057263
                     43,                 1.1145,                0.57935,                0.83316,                 1.3317,                0.95526,                0.89541,                0.94752,                0.61537,                0.94453,                0.88541,                0.93367,                0.58189,                 1.4006,                 1.7042,                 0.6745,                 1.7786,             0.00056909,             0.00056909,             0.00056909
                     44,                 1.0329,                0.55105,                0.72453,                 1.2657,                0.95243,                0.93386,                0.95302,                0.61906,                0.94295,                0.92412,                0.93553,                0.57888,                 1.4299,                0.56258,                0.72024,                 1.8016,             0.00056556,             0.00056556,             0.00056556
                     45,                 1.0642,                 0.4897,                 0.7555,                 1.2967,                0.91403,                0.88786,                0.94475,                0.62576,                0.90444,                0.87786,                0.92846,                0.60244,                 1.4142,                0.56542,                0.75914,                 1.7824,             0.00056203,             0.00056203,             0.00056203
                     46,                 1.0626,                  0.589,                0.76982,                 1.3058,                0.91135,                0.86655,                0.95062,                0.61229,                0.91681,                0.85305,                0.92973,                0.58602,                 1.3926,                 1.0898,                0.78152,                 1.7689,             0.00055849,             0.00055849,             0.00055849
                     47,                 1.0796,                0.55932,                0.87511,                 1.3037,                0.93764,                 0.8824,                0.94901,                0.64082,                0.94446,                0.83617,                0.92388,                0.59578,                 1.3525,                 1.2787,                0.71722,                 1.7611,             0.00055496,             0.00055496,             0.00055496
                     48,                 1.0322,                 0.5413,                0.72932,                 1.2355,                0.87884,                0.91423,                0.93968,                 0.6248,                0.86855,                0.90423,                0.92326,                0.57179,                 1.3335,                 1.4961,                0.70977,                 1.6995,             0.00055142,             0.00055142,             0.00055142
                     49,                 1.0199,                0.47152,                0.72904,                 1.2723,                0.91241,                0.91675,                0.95154,                0.62996,                0.90119,                0.90963,                0.93276,                0.59305,                 1.3522,                  1.643,                0.75702,                 1.7606,             0.00054789,             0.00054789,             0.00054789
                     50,                 1.0021,                0.50751,                0.75804,                 1.2626,                0.83915,                0.91494,                0.92283,                0.58724,                0.83041,                0.90542,                0.90425,                 0.5449,                 1.4147,                 1.8978,                0.75458,                 1.8313,             0.00054435,             0.00054435,             0.00054435
                     51,                 1.0418,                0.61268,                0.78028,                 1.3082,                0.89181,                0.87379,                0.94142,                0.58202,                   0.88,                0.86395,                0.91872,                0.53944,                 1.4058,                 1.9328,                0.70705,                 1.8255,             0.00054082,             0.00054082,             0.00054082
                     52,                 1.0014,                0.67075,                0.76714,                 1.2182,                0.87075,                 0.8838,                 0.9382,                0.60841,                0.85791,                0.86117,                0.90824,                0.56416,                 1.4119,                 2.0943,                0.73592,                 1.8095,             0.00053728,             0.00053728,             0.00053728
                     53,                0.99367,                0.61488,                0.71359,                 1.2867,                0.88196,                 0.8262,                0.91797,                0.57985,                0.87388,                0.81388,                0.89274,                0.55293,                 1.5156,                 2.0559,                0.82739,                 1.8981,             0.00053375,             0.00053375,             0.00053375
                     54,                 1.0012,                0.51505,                 0.7182,                 1.2625,                0.88394,                0.88384,                0.93235,                0.57929,                0.87326,                0.87409,                0.91122,                0.54954,                  1.474,                 2.1157,                0.71214,                 1.8708,             0.00053022,             0.00053022,             0.00053022
                     55,                0.96759,                0.54375,                0.65107,                 1.2356,                0.88147,                0.90001,                0.93921,                0.58678,                0.87127,                0.89001,                0.91739,                0.56124,                 1.4395,                 2.0604,                0.68365,                 1.8061,             0.00052668,             0.00052668,             0.00052668
                     56,                0.99423,                0.51891,                0.69938,                 1.2413,                0.95475,                 0.8536,                0.91951,                0.58333,                0.94237,                0.84374,                0.90036,                0.54076,                 1.4266,                 1.2171,                0.78131,                 1.8502,             0.00052315,             0.00052315,             0.00052315
                     57,                0.98992,                0.49358,                0.68226,                 1.2439,                0.95521,                0.79911,                0.90896,                0.56434,                0.94297,                0.78911,                0.89153,                0.54695,                 1.4787,                 2.0469,                0.87786,                  1.893,             0.00051961,             0.00051961,             0.00051961
                     58,                 0.9772,                0.49466,                 0.6886,                  1.223,                  0.939,                0.90548,                0.94327,                0.58082,                0.92723,                0.89548,                0.92368,                0.55171,                 1.4578,                 1.6077,                0.84549,                 1.8697,             0.00051608,             0.00051608,             0.00051608
                     59,                0.97554,                0.56717,                  0.668,                 1.2209,                0.92954,                0.93587,                0.94417,                0.58891,                0.91728,                0.92587,                0.91705,                 0.5465,                 1.4179,                 1.9539,                0.73481,                 1.8299,             0.00051254,             0.00051254,             0.00051254
                     60,                0.92808,                0.55952,                0.64138,                 1.1943,                0.92427,                0.96528,                0.95387,                0.60025,                0.89022,                0.92304,                0.92776,                0.56006,                 1.4087,                 2.1266,                0.65205,                 1.8392,             0.00050901,             0.00050901,             0.00050901
                     61,                0.98503,                  0.557,                  0.727,                 1.2105,                0.90298,                0.92306,                0.94753,                0.58127,                0.89183,                0.91371,                0.92981,                0.56857,                  1.439,                  2.081,                0.65867,                 1.9091,             0.00050548,             0.00050548,             0.00050548
                     62,                0.97889,                0.58446,                0.65999,                 1.2116,                0.94898,                0.91895,                0.95404,                0.60504,                0.93869,                0.90921,                0.93554,                 0.5653,                  1.404,                  1.979,                0.63717,                 1.8917,             0.00050194,             0.00050194,             0.00050194
                     63,                0.95162,                0.61191,                0.67479,                 1.1945,                0.93987,                0.91313,                0.95967,                0.59454,                0.92825,                 0.9033,                 0.9359,                0.55932,                 1.4479,                 1.7475,                0.62604,                  1.946,             0.00049841,             0.00049841,             0.00049841
                     64,                0.92539,                 0.4642,                0.66295,                 1.2046,                0.94975,                0.91878,                0.95837,                0.60899,                0.93728,                 0.9091,                0.94324,                0.60167,                 1.3811,                 1.8987,                0.65114,                 1.8041,             0.00049487,             0.00049487,             0.00049487
                     65,                 0.9494,                0.45731,                0.65921,                 1.2284,                0.95714,                0.91214,                0.95643,                0.60959,                0.94433,                0.90257,                0.94175,                0.58033,                 1.4011,                 1.8416,                0.66429,                 1.8454,             0.00049134,             0.00049134,             0.00049134
                     66,                0.94856,                0.52073,                0.64842,                   1.25,                0.97708,                0.92009,                0.95627,                0.62754,                0.96518,                0.91009,                0.93794,                0.61383,                  1.384,                 1.8956,                0.62151,                 1.7877,              0.0004878,              0.0004878,              0.0004878
                     67,                0.87279,                0.54352,                0.62085,                 1.1732,                0.96858,                0.93247,                0.96663,                0.60966,                 0.9562,                0.92258,                0.94979,                0.57631,                  1.417,                0.86176,                0.69516,                 1.8279,             0.00048427,             0.00048427,             0.00048427
                     68,                0.91875,                 0.5297,                 0.6447,                 1.1877,                0.92854,                 0.9317,                0.95743,                0.60417,                0.91691,                 0.9217,                0.94219,                 0.5869,                 1.4438,                 1.6057,                0.61919,                 1.8661,             0.00048074,             0.00048074,             0.00048074
                     69,                0.92475,                0.53338,                0.62954,                 1.2149,                0.93299,                0.91214,                0.94694,                0.60173,                0.92125,                0.90229,                0.92993,                0.56722,                 1.4018,                 1.8673,                0.62389,                 1.8309,              0.0004772,              0.0004772,              0.0004772
                     70,                 0.9028,                0.47347,                0.62542,                 1.1813,                0.88949,                0.92458,                0.95143,                0.58699,                0.87906,                0.91519,                 0.9329,                0.54115,                 1.4521,                 1.9373,                0.65253,                 1.9539,             0.00047367,             0.00047367,             0.00047367
                     71,                0.91212,                0.48594,                0.63248,                 1.2311,                0.90087,                 0.8918,                0.95361,                0.62535,                0.88955,                0.88246,                0.93418,                 0.5989,                 1.3443,                 1.9377,                0.61818,                 1.8074,             0.00047013,             0.00047013,             0.00047013
                     72,                0.91344,                0.51659,                0.65049,                 1.2056,                0.91644,                0.85506,                0.93279,                0.58646,                0.90447,                0.84506,                 0.9136,                0.54979,                 1.4061,                 1.2779,                0.67312,                 1.9209,              0.0004666,              0.0004666,              0.0004666
                     73,                0.88336,                0.49026,                0.58692,                 1.1749,                0.94105,                0.92085,                0.94812,                0.58786,                 0.9286,                0.91087,                0.92977,                0.55394,                 1.4163,                 2.0278,                 0.5944,                 1.9196,             0.00046306,             0.00046306,             0.00046306
                     74,                 0.8253,                0.47383,                0.55985,                 1.1185,                0.95647,                0.89565,                0.95804,                0.61401,                0.94276,                0.88676,                0.94355,                 0.5718,                  1.442,                 1.7107,                0.66267,                 1.9594,             0.00045953,             0.00045953,             0.00045953
                     75,                0.86825,                 0.5218,                0.57764,                 1.1885,                 0.9771,                0.90403,                0.96358,                0.62617,                0.96483,                0.89403,                 0.9496,                0.58633,                 1.3781,                 2.0909,                0.57848,                 1.8374,               0.000456,               0.000456,               0.000456
                     76,                 0.8907,                0.50837,                0.61736,                 1.1764,                0.94506,                0.94138,                0.95568,                0.63601,                0.93406,                0.93149,                0.93417,                0.59684,                 1.3656,                 1.3399,                 0.6296,                 1.8275,             0.00045246,             0.00045246,             0.00045246
                     77,                0.83255,                0.46172,                0.57119,                 1.1514,                0.91293,                0.93726,                0.95004,                0.62233,                0.91313,                0.90557,                0.91847,                0.57864,                 1.3706,                  1.167,                0.65141,                 1.7927,             0.00044893,             0.00044893,             0.00044893
                     78,                0.83444,                0.52722,                0.57447,                 1.1574,                0.96126,                0.90413,                0.95042,                0.61677,                0.95043,                0.89413,                0.93206,                0.57702,                  1.431,                 0.6587,                0.71462,                 1.9219,             0.00044539,             0.00044539,             0.00044539
                     79,                0.85971,                0.55471,                0.61898,                 1.1573,                0.95367,                0.91321,                0.95083,                 0.5918,                0.93425,                0.89353,                0.91915,                 0.5637,                 1.4824,                0.69979,                0.75629,                 1.9691,             0.00044186,             0.00044186,             0.00044186
                     80,                0.83258,                0.49912,                0.56236,                  1.135,                 0.9409,                0.93325,                0.95428,                0.61355,                 0.9116,                0.90323,                0.92453,                0.58288,                 1.4075,                 1.9462,                0.64874,                 1.8863,             0.00043832,             0.00043832,             0.00043832
                     81,                0.85028,                0.45781,                0.55802,                 1.1625,                0.95015,                0.90496,                0.96441,                  0.616,                0.93389,                0.88527,                 0.9396,                0.58684,                  1.423,                 2.1004,                0.63604,                 1.9177,             0.00043479,             0.00043479,             0.00043479
                     82,                0.83895,                0.41772,                0.56867,                 1.1563,                0.92488,                0.91571,                0.94922,                0.62124,                0.90473,                 0.8959,                0.92922,                 0.5859,                 1.3442,                 2.0754,                0.60529,                 1.7866,             0.00043126,             0.00043126,             0.00043126
