Episode,Reward,Penalties,State,Hashed_State,value
60,6,10,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",18,-0.17877578064942612
60,6,10,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,4.314042475333973
60,6,10,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,4.741480776320614
60,6,10,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,5.15182154526779
60,6,10,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,5.545748683457078
60,6,10,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,5.923918736118795
60,-5,11,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,5.186961986674044
60,6,11,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,5.579483507207082
60,-5,12,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",35,1.0758834031659599
60,6,12,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 11, ""open_monitor"": 1, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,5.956304166918799
60,-5,13,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 3, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",0,2.729051935429763
60,6,13,"{""en_peligro"": 1, ""flashlight"": 0, ""foxy_en_pasillo"": 1, ""hallway"": 0, ""last_action"": 2, ""left_vent"": 0, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 1, ""right_vent"": 1}",2,10.364525983061213
60,6,13,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 1, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",16,-1.5257263540218868
60,6,13,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",18,0.4283752505765509
60,6,13,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,6.318052000242047
60,-5,14,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,-1.7238390820918266
60,6,14,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 11, ""open_monitor"": 1, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,6.665329920232366
60,-5,15,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 0, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",0,2.1198898580125727
60,6,15,"{""en_peligro"": 1, ""flashlight"": 0, ""foxy_en_pasillo"": 1, ""hallway"": 0, ""last_action"": 2, ""left_vent"": 0, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 1, ""right_vent"": 1}",21,-1.2783896034237472
60,6,15,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 1, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",16,-0.8646972998610114
60,-5,16,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",18,-6.466336840385662
60,6,16,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,6.998716723423072
60,6,16,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 4, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,7.318768054486149
60,-5,17,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",6,-0.8881102541937085
60,6,17,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 11, ""open_monitor"": 1, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,7.626017332306703
60,-5,18,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 3, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",0,1.53509426369207
60,6,18,"{""en_peligro"": 1, ""flashlight"": 0, ""foxy_en_pasillo"": 1, ""hallway"": 0, ""last_action"": 2, ""left_vent"": 0, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 1, ""right_vent"": 1}",2,10.549944943738765
60,6,18,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 1, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",16,-0.23010940786657097
60,6,18,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",18,1.011240240553489
60,6,18,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,7.920976639014436
60,-5,19,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,-1.9786285664742784
60,6,19,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,8.204137573453858
60,6,19,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 5, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,8.475972070515704
60,-5,20,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",13,-6.936485165214845
60,6,20,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 11, ""open_monitor"": 1, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,8.736933187695076
60,-5,21,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 3, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",0,0.9736904931443872
60,6,21,"{""en_peligro"": 1, ""flashlight"": 0, ""foxy_en_pasillo"": 1, ""hallway"": 0, ""last_action"": 2, ""left_vent"": 0, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 1, ""right_vent"": 1}",2,10.727947145989216
