                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3025,                0.80674,                  1.158,                 1.4603,                0.87678,                0.67383,                 0.8245,                0.46919,                0.87678,                0.67383,                 0.8245,                0.49578,                 1.6633,                 1.2382,                 1.2567,                 1.8468,             0.00052397,             0.00052397,             0.00052397
                     25,                 1.2175,                0.86582,                 1.1269,                 1.3714,                0.75914,                0.71501,                0.77718,                0.48499,                0.75914,                0.71501,                0.77744,                0.48861,                 1.6304,                 0.5926,                  1.439,                 1.8287,             0.00052106,             0.00052106,             0.00052106
                     26,                 1.2182,                0.84606,                 1.1072,                 1.4278,                0.82379,                0.81361,                0.85821,                0.55001,                0.82379,                0.81361,                 0.8597,                0.55651,                 1.7067,                0.48936,                0.99555,                 1.9486,             0.00051815,             0.00051815,             0.00051815
                     27,                 1.1919,                0.76149,                 1.0481,                 1.3958,                0.85271,                0.73849,                0.84803,                0.50089,                0.85271,                0.73849,                0.84803,                0.51534,                 1.6993,                0.50247,                 1.0771,                 1.9211,             0.00051523,             0.00051523,             0.00051523
                     28,                 1.2039,                 0.9245,                 0.9804,                 1.3838,                0.75012,                0.73333,                0.81202,                 0.4908,                0.75012,                0.73333,                0.81202,                0.50827,                 1.7486,                0.44163,                  1.017,                  2.004,             0.00051232,             0.00051232,             0.00051232
                     29,                 1.2014,                0.81371,                 1.0323,                 1.3936,                 0.7763,                 0.7759,                0.77912,                0.46807,                 0.7763,                 0.7759,                0.77912,                0.48461,                 1.7834,                 0.5318,                 1.0103,                 1.9898,             0.00050941,             0.00050941,             0.00050941
                     30,                 1.1534,                 0.8101,                0.98248,                 1.3293,                0.84172,                0.77888,                0.82288,                0.51249,                0.82862,                0.76019,                0.80843,                0.52374,                 1.6737,                0.67514,                 1.0719,                 1.9282,              0.0005065,              0.0005065,              0.0005065
                     31,                 1.1282,                0.60761,                0.96799,                 1.3427,                0.68198,                0.75406,                0.81538,                0.51853,                0.68198,                0.75406,                0.81422,                0.53404,                 1.7113,                0.54172,                  1.041,                 2.1485,             0.00050359,             0.00050359,             0.00050359
                     32,                  1.183,                0.69562,                0.99626,                 1.3958,                0.77191,                0.75889,                0.84222,                0.52461,                0.79009,                0.76988,                0.84364,                0.54974,                 1.7299,                0.49225,                0.96096,                 2.0011,             0.00050068,             0.00050068,             0.00050068
                     33,                 1.1306,                0.85785,                 1.0026,                 1.3329,                0.91992,                0.85477,                0.88921,                0.58303,                0.91992,                0.85477,                0.88921,                0.58428,                 1.5726,                0.58066,                0.75652,                 1.8361,             0.00049777,             0.00049777,             0.00049777
                     34,                 1.1623,                0.75161,                0.90513,                 1.3688,                0.88924,                0.80614,                0.88331,                0.56467,                0.88924,                0.80614,                0.88385,                0.58606,                 1.5544,                  0.576,                0.85272,                 1.7279,             0.00049486,             0.00049486,             0.00049486
                     35,                 1.1639,                0.72066,                0.92164,                 1.3817,                 0.8687,                0.75509,                0.87545,                0.55476,                 0.8687,                0.75509,                0.87862,                0.55593,                 1.5165,                0.49005,                0.85014,                 1.6944,             0.00049195,             0.00049195,             0.00049195
                     36,                 1.1624,                0.60285,                0.91707,                 1.3684,                0.85236,                0.78161,                0.84633,                0.53577,                0.85236,                0.78161,                0.84432,                0.53845,                 1.6224,                 0.4692,                0.86027,                  1.834,             0.00048904,             0.00048904,             0.00048904
                     37,                 1.1628,                0.61645,                0.93145,                 1.3749,                0.83666,                0.85532,                0.87925,                0.56535,                0.83666,                0.85532,                0.87925,                0.56336,                 1.5677,                0.43963,                0.76173,                 1.7665,             0.00048613,             0.00048613,             0.00048613
